ID   ;SEX; NAME
14; F ; Kristin LeMoine
16; F ; Alys AtteWater
17; M ; Gord Mackenzie
19; F ; Kara Shallenberg
20; F ; Gesine
22; F ; Michelle Crandall
23; F ; Anita Roy Dobbs
25; M ; John Gonzalez
26; M ; Denny Sayers
27; M ; Sean McKinley
28; F ; Kristin Hughes
29; M ; Linton
30; F ; Annie Coleman Rothenberg
31; M ; Martin Clifton
32; F ; Betsie Bush
36; M ; Chip
37; M ; wolvrin
38; M ; R. Francis Smith
39; F ; Sherry Crowther
40; F ; Vicki Barbour
44; F ; travelbratd
45; F ; Kelly Bescherer
46; M ; Aaron Hochwimmer
47; F ; Amanda
49; M ; vrk74
51; M ; rakkar
52; F ; Luisa Hall
54; F ; Westwinds12
55; M ; David Jaquay
56; F ; Kirsten Ferreri
57; F ; Ophelia Darcy
58; M ; George Coutts
60; M ; Simon
61; M ; Paul-Gabriel Wiener
62; M ; Faris
64; F ; Robin Cotter
65; F ; chriss the girl
66; M ; Alex Foster
70; M ; Kurt Copeland
75; M ; Jim Mowatt
77; F ; JemmaBlythe
78; M ; Hugh McGuire
79; F ; Jennifer Crispin
81; M ; Aaron Decker
82; F ; Marlo Dianne
83; F ; Catharine Eastman
84; F ; Christie Nowak
85; M ; David Leaman
87; F ; Rosalind Wills
89; F ; Kristen McQuillin
90; M ; Dan Threetrees
91; M ; Stephan Mobius
92; F ; Cori Samuel
93; F ; Kathy
94; M ; David Barnes
98; F ; Patricia Oakley
100; F ; Judy Bieber
101; M ; paulino
102; F ; Linda Leu
103; F ; Karen Savage
104; F ; Laura M.D.
107; M ; John Greenman
110; F ; Cynthia Lyons (1946-2011)
111; F ; Linda Wilcox
112; F ; Christiane Levesque
114; F ; Jen Kidd
115; F ; Maddie
116; M ; Steven Collins
118; M ; Alex Buie
119; M ; Alex Patterson
121; F ; Nikolle Doolin
122; M ; J.C.
123; F ; Ezwa
125; F ; Claire Goget
126; F ; Susan Denney
127; M ; John Hicken
128; M ; ML Cohen
133; M ; Mick
147; M ; Thomas Hoover
149; M ; Joshua Young
150; F ; Fox in the Stars
